Results Scores for CC,Ground Truth Labels
0.311,32.56107711791992
0.7612,66.35955047607422
0.3926,44.694984436035156
0.5093,39.23455810546875
0.2568,9.229073524475098
0.428,41.33135223388672
0.6372,68.92207336425781
0.2279,27.95753288269043
0.7734,75.35151672363281
0.5195,50.63793182373047
0.8584,82.91071319580078
0.3008,32.136905670166016
0.4963,51.841529846191406
0.4348,30.31875038146973
0.7168,68.21714019775389
0.1935,24.87113380432129
0.2693,31.293785095214844
0.282,26.09770202636719
0.7329,70.43274688720703
0.4038,26.530864715576172
0.5347,51.31707382202149
0.3992,60.9472885131836
0.1449,18.784883499145508
0.2644,19.75
0.8271,79.3670883178711
0.5044,67.29775238037111
0.7759,70.99459838867188
0.7578,81.905029296875
0.5713,52.84302139282226
0.4346,41.42689895629883
0.4058,48.81366348266602
0.8716,72.88268280029297
0.2256,15.895237922668455
0.8467,86.60869598388672
0.4995,48.52903366088867
0.772,73.02590942382812
0.2137,27.005714416503906
0.1586,32.308990478515625
0.4849,65.94300842285156
0.7236,67.16315460205078
0.6108,59.84210586547852
0.7656,67.58695983886719
0.6943,61.92856979370117
0.7642,77.40229797363281
0.7627,77.45833587646484
0.3745,20.581817626953125
0.281,26.40571403503418
0.6626,61.14948272705078
0.6865,76.92391204833984
0.7422,55.59239196777344
0.4629,34.211181640625
0.8115,71.32335662841797
0.4985,41.97076034545898
0.5879,72.45744323730469
0.5659,66.39411926269531
0.7163,65.79618072509766
0.4363,55.77922058105469
0.8408,79.4378662109375
0.7217,73.08808135986328
0.2656,11.977143287658693
0.6973,73.63905334472656
0.2605,28.51282119750977
0.1776,17.519229888916016
0.876,79.41666412353516
0.7559,73.83443450927734
0.5151,56.398963928222656
0.4978,41.3470573425293
0.1996,8.246835708618164
0.7305,70.63749694824219
0.4971,46.36942672729492
0.8198,80.5
0.6636,71.86338806152344
0.6025,49.79581069946289
0.8838,75.17778015136719
0.6572,65.41807556152344
0.2499,30.10919570922852
0.7588,77.6021499633789
0.73,60.28795623779297
0.2654,25.136363983154297
0.7051,63.04522705078125
0.9487,74.5406723022461
0.7671,72.91000366210938
0.7329,74.36477661132812
0.5396,61.3453598022461
0.4944,58.43010711669922
0.5117,53.7023811340332
0.4927,66.10843658447266
0.7031,61.46198654174805
0.4121,39.41340637207031
0.3301,29.128204345703125
0.5459,52.63131332397461
0.3669,23.012121200561523
0.7212,67.0
0.7139,56.46994400024414
0.4978,49.80769348144531
0.3977,28.711956024169922
0.3892,28.95953750610352
0.406,46.05376434326172
0.5186,64.55191040039061
0.314,31.72946929931641
0.406,46.47474670410156
0.4395,35.483516693115234
0.6826,74.66082000732422
0.416,26.66666603088379
0.6724,69.18408203125
0.6987,61.78888702392578
0.7646,55.48235321044922
0.8101,78.51724243164062
0.6479,66.21228790283203
0.3093,30.9360466003418
0.107,9.13907241821289
0.5659,49.5
0.2263,24.515151977539066
0.5156,50.99441528320313
0.7153,75.48170471191406
0.8008,77.95977020263672
0.7935,72.59091186523438
0.3982,43.66864013671875
0.502,53.84146499633789
0.4773,52.29069900512695
0.8027,76.38541412353516
0.6919,70.54210662841797
0.4836,42.6860466003418
0.4631,61.71264266967773
0.0672,13.113924026489258
0.8081,73.11111450195312
0.5781,57.19135665893555
0.7305,75.17901611328125
0.7275,68.14723968505861
0.6924,67.98850250244139
0.4927,48.803466796875
0.6216,53.0206184387207
0.7573,67.28221130371094
0.8125,84.16021728515625
0.5952,59.25654602050781
0.7446,68.31125640869139
0.2429,14.638298034667967
0.6636,64.05294036865234
0.4744,49.47567749023438
0.6895,72.70760345458984
0.4683,41.099998474121094
0.522,57.66666793823242
0.5415,52.0
0.4851,43.24712753295898
0.4714,45.371070861816406
0.8608,81.76878356933594
0.7363,81.25555419921875
0.6587,64.68062591552734
0.6069,53.15243911743164
0.3271,30.983051300048828
0.7231,68.82432556152344
0.6216,59.0318489074707
0.0883,3.497584581375122
0.8135,77.11392211914062
0.543,53.08000183105469
0.5034,59.45000076293945
0.5122,43.88204956054688
0.4619,34.12345504760742
0.6006,56.44508743286133
0.121,10.727272987365724
0.5513,52.03048706054688
0.7407,74.27218627929688
0.7988,74.9493637084961
0.7998,73.18478393554688
0.4104,35.83597946166992
0.4644,50.5745849609375
0.6904,61.77717208862305
0.3845,39.1543197631836
0.6597,46.70792007446289
0.4995,48.77999877929688
0.6226,57.2427749633789
0.8086,70.32417297363281
0.8042,71.7964096069336
0.6797,68.36021423339844
0.7144,61.61309432983398
0.8779,71.90058135986328
0.5601,49.09042739868164
0.8481,85.21637725830078
0.5303,62.28571319580078
0.281,27.153846740722656
0.4207,39.01863479614258
0.6343,60.15217208862305
0.7222,61.79104614257813
0.7207,70.7417221069336
0.7285,75.64161682128906
0.5601,62.07936477661133
0.8213,78.61176300048828
0.3394,21.574073791503906
0.7822,83.06172943115234
0.4697,44.39890670776367
0.5742,65.32544708251953
0.5854,50.18823623657226
0.3386,47.027320861816406
0.6821,71.63580322265625
0.7192,68.41071319580078
0.2637,28.10416603088379
0.6729,70.64497375488281
0.6924,63.289306640625
0.2732,34.094970703125
0.5762,43.57058715820313
0.4285,45.71038436889648
0.2839,20.168420791625977
0.5571,66.91489410400389
0.5059,56.07650375366211
0.4019,40.74137878417969
0.2487,30.911602020263672
0.7158,47.79768753051758
0.3989,43.45833206176758
0.6284,61.01351165771485
0.4529,35.8125
0.2876,30.91666603088379
0.4856,43.546875
0.45,40.67231750488281
0.2356,12.834355354309082
0.7871,72.4691390991211
0.4856,38.379310607910156
0.3398,27.07182312011719
0.5059,49.63681411743164
0.6475,56.39664840698242
0.4797,38.50602340698242
0.2595,41.25967025756836
0.6831,74.78771209716797
0.7827,63.90849685668945
0.4585,51.13772583007813
0.8359,87.36559295654297
0.7783,67.19886016845703
0.4363,51.17326736450195
0.2217,13.719388008117676
0.3984,44.92934799194336
0.259,19.37640380859375
0.3384,35.10365676879883
0.7778,69.67142486572266
0.3901,22.65584373474121
0.5034,56.67777633666992
0.6406,49.2471923828125
0.376,52.79213333129883
0.7178,69.93710327148439
0.4355,49.30158615112305
0.3984,34.267044067382805
0.2922,35.1693115234375
0.6143,76.29090881347656
0.5332,53.55191421508789
0.7974,77.07142639160156
0.2791,44.262855529785156
0.688,53.4793815612793
0.7588,65.39080810546875
0.7871,77.92682647705078
0.448,52.35393142700195
0.4998,46.907691955566406
0.6675,58.42045593261719
0.6377,82.53939056396484
0.246,6.393442630767822
0.6885,68.78888702392578
0.6372,67.72413635253906
0.6724,67.18888854980469
0.856,80.59064483642578
0.5513,51.0928955078125
0.5063,58.38974380493164
0.3174,43.86390686035156
0.46,47.37911987304688
0.1953,11.760478973388672
0.8647,86.6021499633789
0.5996,62.31764602661133
0.5728,51.55232620239258
0.2825,27.96226501464844
0.2269,8.932960510253906
0.7056,67.68681335449219
0.728,66.86250305175781
0.7822,79.80226135253906
0.4905,41.33854293823242
0.5654,58.91666793823242
0.4797,58.65217208862305
0.335,30.537633895874023
0.7378,69.28333282470703
0.3804,34.25543594360352
0.7207,58.655174255371094
0.7822,71.02857208251953
0.4414,52.03061294555664
0.7656,68.09944915771484
0.5156,52.68246459960938
0.7617,76.2762451171875
0.4248,43.20245361328125
0.4949,64.55248260498047
0.6118,50.6684799194336
0.6113,62.92353057861328
0.3945,34.379886627197266
0.3977,24.970930099487305
0.6099,67.38150024414061
0.5786,44.56204223632813
0.4321,36.5214729309082
0.4951,23.164894104003906
0.564,43.88268280029297
0.519,53.8663101196289
0.5439,50.13541793823242
0.707,52.92168807983398
0.4861,43.329193115234375
0.5542,57.37724685668945
0.3154,28.34394836425781
0.5259,66.57803344726561
0.7827,68.03208923339844
0.6372,59.62813949584961
0.405,43.18716430664063
0.3101,24.03012084960937
0.4211,23.213483810424805
0.7549,74.2057113647461
0.6187,71.5062484741211
0.5864,61.31666564941406
0.7549,64.61817932128906
0.7788,79.11363983154297
0.6079,63.76063919067383
0.7749,82.11111450195312
0.6978,69.70285797119139
0.4695,35.037975311279304
0.5635,56.6136360168457
0.4224,40.727272033691406
0.7549,74.01840209960938
0.71,58.37647247314453
0.7275,64.44827270507811
0.2617,30.15053749084473
0.4988,59.0057487487793
0.7832,82.77539825439453
0.8125,81.84049224853516
0.7446,69.75609588623047
0.5132,48.54736709594727
0.5498,53.83333206176758
0.6587,68.14851379394531
0.5195,51.66470718383789
0.3838,36.89570617675781
0.7812,65.921875
0.8198,73.27932739257812
0.2659,44.44612121582031
0.5815,58.64024353027344
0.3413,54.404762268066406
0.8501,76.84563446044922
0.7378,71.25714111328125
0.8188,76.09658813476562
0.4546,38.12345504760742
0.7998,79.70256042480469
0.4749,55.46154022216797
0.3425,33.140350341796875
0.6924,67.59648895263672
0.4836,34.097702026367195
0.5132,58.30459594726562
0.0307,17.956989288330078
0.5781,56.43421173095703
0.45,33.01149368286133
0.6353,45.86224365234375
0.2201,16.904191970825195
0.8247,79.76757049560547
0.7651,72.0934066772461
0.5596,66.92090606689453
0.7686,71.8978500366211
0.5654,59.66486358642578
0.5679,55.99492263793945
0.7393,74.16564178466797
0.4849,62.25139617919922
0.7871,71.56441497802734
0.6484,59.48128509521485
0.6885,64.16959381103516
0.7515,67.40119934082031
0.603,52.6861686706543
0.4282,37.914772033691406
0.2795,13.005681991577148
0.6831,63.3351936340332
0.7778,62.61497497558594
0.4753,46.41572952270508
0.7114,61.94791793823242
0.4561,34.496856689453125
0.6475,58.7621955871582
0.7271,49.87974548339844
0.4905,57.381248474121094
0.6953,65.19892120361328
0.5894,57.33333206176758
0.2311,18.93827247619629
0.3599,18.477706909179688
0.5942,60.21081161499024
0.7983,65.83832550048828
0.7109,71.05641174316406
0.4021,17.005556106567386
0.7725,83.17708587646484
0.4919,47.24352264404297
0.2134,13.125682830810547
0.4102,25.33146095275879
0.6929,61.53845977783203
0.4507,41.099998474121094
0.7622,72.03921508789062
0.5898,63.19631958007813
0.7407,69.38690185546875
0.7139,62.4648666381836
0.303,38.191490173339844
0.4976,46.85889434814453
0.7793,75.57653045654297
0.7305,79.08000183105469
0.3386,44.44711685180664
0.2395,7.688118934631348
0.7568,77.20118713378906
0.4939,56.0952377319336
0.2417,6.043269157409668
0.8809,75.77987670898438
0.5078,65.53254699707031
0.689,72.92308044433594
0.6484,55.7752799987793
0.6729,69.20689392089844
0.7983,76.40908813476562
0.6016,57.64444351196289
0.2155,7.369565010070801
0.5845,58.54666519165039
0.1716,15.220126152038574
0.5044,59.40963745117188
0.6108,50.13953399658203
0.4814,53.77987289428711
0.6914,65.17441558837889
0.3743,22.545454025268555
0.7915,64.08889007568361
0.5171,54.16230392456055
0.7793,75.52222442626953
0.4648,60.01086807250977
0.6636,66.01449584960939
0.4712,49.5
0.5122,52.779762268066406
0.5322,50.0928955078125
0.5376,51.8306884765625
0.4907,45.20270156860352
0.7134,67.78260803222656
0.4897,53.86010360717773
0.7466,70.75568389892578
0.7412,62.34502792358398
0.5679,57.46470642089844
0.2192,12.932960510253904
0.7466,81.3448257446289
0.7334,67.61691284179689
0.583,56.477272033691406
0.7227,62.80628204345703
0.4294,27.539325714111328
0.8184,85.21739196777344
0.5137,57.09756088256836
0.7246,65.50314331054689
0.4429,32.561111450195305
0.3591,35.64197540283203
0.7456,80.86338806152344
0.4163,51.89944076538086
0.5239,31.978313446044922
0.7383,68.45270538330078
0.2991,37.8636360168457
0.7393,71.48275756835938
0.2424,27.20467758178711
0.5791,56.18562698364258
0.7222,63.09036254882813
0.7236,73.07527160644531
0.7954,78.80368041992188
0.5996,63.07143020629883
0.467,40.48571395874024
0.7173,62.13793182373047
0.7593,78.62874603271484
0.2949,27.84152984619141
0.4917,43.281436920166016
0.6782,70.37036895751953
0.7285,75.6875
0.7622,76.2371826171875
0.5259,52.42934799194336
0.5376,38.235294342041016
0.6621,59.42105102539063
0.6465,62.566139221191406
0.8257,82.28292846679688
0.5601,59.00518035888672
0.5737,52.01099014282226
0.582,64.79042053222656
0.2598,17.975000381469727
0.7344,48.273292541503906
0.7173,78.81935119628906
0.6948,67.12834167480469
0.7104,71.88235473632812
0.5996,70.04819488525389
0.5312,50.59235763549805
0.7246,69.57894897460939
0.2406,14.178160667419435
0.6919,59.47541046142578
0.2861,27.698225021362305
0.6494,42.7950325012207
0.2303,20.34939765930176
0.7461,83.2834243774414
0.2888,10.668571472167967
0.5459,61.55769348144531
0.1814,7.5
0.3813,44.730770111083984
0.2815,62.25618362426758
0.7988,74.18333435058594
0.3579,37.756248474121094
0.5635,54.4594612121582
0.8618,72.87005615234375
0.4595,41.86075973510742
0.7339,60.52284240722656
0.5435,47.88333511352539
0.7256,64.79896545410156
0.3423,39.80473327636719
0.5405,40.39204406738281
0.1422,51.8719596862793
0.4973,58.21607971191406
0.5635,48.62569808959961
0.7979,65.11111450195311
0.8667,81.12578582763672
0.6875,57.40268325805664
0.7651,56.24590301513672
0.7681,76.09467315673828
0.8218,71.52146911621094
0.7124,69.64705657958984
0.6338,54.421875
0.125,4.93782377243042
0.4646,56.42683029174805
0.4873,30.14554023742676
0.224,36.1533317565918
0.5107,55.25946044921875
0.4844,56.10651016235352
0.6821,68.60240936279297
0.3391,50.12195205688477
0.3108,40.87096786499024
0.7578,72.31351470947266
0.3909,32.103260040283196
0.2333,42.4121208190918
0.4077,37.04878234863281
0.5273,66.61666870117189
0.6689,64.82035827636719
0.457,39.79999923706055
0.7227,66.09596252441406
0.7627,75.32941436767578
0.5615,63.07526779174805
0.6758,56.35555648803711
0.7334,71.76923370361328
0.1534,11.72580623626709
0.6748,77.90347290039062
0.5996,73.62352752685547
0.3721,52.709678649902344
0.3359,29.502674102783203
0.6211,40.39664840698242
0.5254,63.14754104614258
0.4595,62.53012084960938
0.5532,64.11801147460939
0.2542,35.55172348022461
0.4189,52.55191421508789
0.4158,51.900550842285156
0.6289,68.05555725097656
0.5254,59.98974227905274
0.5698,60.75
0.6934,78.53012084960938
0.3955,21.2356014251709
0.5825,69.47979736328125
0.6797,65.42941284179689
0.283,25.90643310546875
0.6689,77.28804016113281
0.5645,61.09271621704102
0.7651,78.80813598632812
0.6338,65.06964874267578
0.7734,78.67894744873047
0.4939,70.20555877685547
0.3176,65.26344299316406
0.3823,44.41290283203125
0.5688,72.8509292602539
0.5562,48.69948196411133
0.2927,45.41764831542969
0.5063,50.25946044921875
0.5337,65.88953399658203
