Results Scores for CC,Ground Truth Labels
0.4741,48.86000061035156
0.7349,62.5
0.8384,77.25
0.8203,67.0
0.2754,22.709999084472656
0.4358,33.169998168945305
0.7773,73.0
0.2075,20.13999938964844
0.1564,12.5
0.7544,56.25
0.856,63.13000106811523
0.2578,20.13999938964844
0.2856,25.0
0.0616,5.829999923706055
0.3293,29.11000061035156
0.8296,76.13999938964844
0.6787,56.290000915527344
0.1748,31.56999969482422
0.7837,70.56999969482422
0.6699,59.88000106811523
0.75,74.12999725341797
0.6406,58.75
0.6826,44.13000106811523
0.4456,36.75
0.7275,56.0
0.8833,71.43000030517578
0.4763,48.88000106811523
0.157,8.859999656677246
0.1565,16.860000610351562
0.4685,41.0
0.8867,78.83000183105469
0.7603,70.86000061035156
0.8501,64.83000183105469
0.8809,91.1999969482422
0.3374,38.16999816894531
0.2751,27.0
0.7515,64.70999908447266
0.0297,8.0
0.7827,63.0
0.2478,25.170000076293945
0.25,22.5
0.4863,50.290000915527344
0.5635,51.83000183105469
0.312,34.169998168945305
0.0804,8.710000038146973
0.1367,16.670000076293945
0.2869,22.56999969482422
0.2688,22.43000030517578
0.4429,36.83000183105469
0.7178,58.83000183105469
0.1576,11.670000076293945
0.8774,75.83000183105469
0.7729,71.0
0.2822,19.32999992370605
0.1801,14.0
0.8457,67.0
0.7534,65.55999755859375
0.5864,45.70000076293945
0.2299,32.59999847412109
0.1312,16.129999160766598
0.854,78.0
0.3103,32.5
0.3882,37.599998474121094
0.3088,31.32999992370605
0.3521,32.779998779296875
0.7729,67.62999725341797
0.811,67.86000061035156
0.2001,18.6299991607666
0.7988,66.87999725341797
0.6699,56.0
0.5396,46.22000122070313
0.2551,21.8799991607666
0.3538,34.400001525878906
0.3691,38.43000030517578
0.4722,39.88000106811523
0.3101,28.3799991607666
0.5205,49.88000106811523
0.7827,67.13999938964844
0.29,26.6299991607666
0.4297,41.88000106811523
0.0788,7.429999828338622
0.7266,73.37999725341797
0.7148,61.709999084472656
0.6538,46.709999084472656
0.1986,16.569999694824222
0.3276,32.860000610351555
0.8516,56.56999969482422
0.813,75.86000061035156
0.8662,73.87999725341797
0.7612,54.709999084472656
0.916,78.86000061035156
0.5049,49.86000061035156
0.4727,34.290000915527344
0.3301,34.0
0.52,47.86000061035156
0.3728,34.900001525878906
0.7524,58.38000106811523
0.6333,49.13999938964844
0.3948,41.13999938964844
0.6138,50.63000106811523
0.0908,16.0
0.4399,35.290000915527344
0.5874,42.5
0.7856,58.88000106811523
0.5239,47.88000106811523
0.8799,68.86000061035156
0.4199,38.88000106811523
0.8032,64.0
0.5493,60.13000106811523
0.4751,37.13999938964844
0.5679,43.56999969482422
0.3103,27.8799991607666
0.238,20.5
0.1464,14.56999969482422
0.8335,78.13999938964844
0.5376,54.63000106811523
0.8706,75.43000030517578
0.4839,39.86000061035156
0.5996,53.63000106811523
0.5522,51.290000915527344
0.7495,64.56999969482422
0.6074,38.56999969482422
0.3096,26.56999969482422
0.7485,67.13999938964844
0.4978,43.0
0.9521,82.13999938964844
0.7944,77.37999725341797
0.8452,74.0
0.3755,44.0
0.0998,12.829999923706055
0.709,42.43999862670898
0.6992,56.88999938964844
0.8003,71.88999938964844
0.4993,53.0
0.7729,77.55999755859375
0.2617,21.75
0.6914,52.70000076293945
0.4304,20.0
0.5303,52.77999877929688
0.4817,22.0
0.2886,30.79999923706055
0.0881,15.600000381469727
0.894,75.30000305175781
0.1953,29.20000076293945
0.5156,40.66999816894531
0.269,34.0
0.2756,37.79999923706055
0.8359,80.44000244140625
0.585,68.88999938964844
0.8638,79.0
0.2854,42.22000122070313
0.2605,21.700000762939453
0.8145,81.88999938964844
0.9126,91.37999725341795
0.3704,44.63000106811523
0.4983,34.0
0.9038,79.88999938964844
0.4678,49.70000076293945
0.8037,71.66999816894531
0.3003,46.79999923706055
0.3652,37.18000030517578
0.2839,31.18000030517578
0.8521,80.55999755859375
0.3262,45.11000061035156
0.9404,79.88999938964844
0.2418,25.81999969482422
0.2786,32.75
0.8364,73.69999694824219
0.7734,77.77999877929688
0.8218,73.11000061035156
0.7173,62.5
0.7329,62.599998474121094
0.3511,35.110000610351555
0.9619,79.0
0.224,23.0
0.8579,78.91000366210938
0.8335,79.19999694824219
0.4392,53.66999816894531
0.7832,71.33000183105469
0.8765,75.19999694824219
0.2583,43.560001373291016
0.8086,80.5
0.6284,59.4000015258789
0.6226,54.4000015258789
0.8115,64.88999938964844
0.7651,64.25
0.2358,26.60000038146973
0.749,67.69999694824219
0.375,44.20000076293945
0.7407,57.43999862670898
0.2747,33.380001068115234
0.8477,60.77999877929688
0.2827,37.11000061035156
0.6333,62.0
0.293,41.5
0.0538,10.880000114440918
0.4624,39.33000183105469
0.4824,42.25
0.5825,51.0
0.7661,75.37999725341797
0.2693,34.5
0.7627,64.75
0.8574,76.44000244140625
0.7603,78.37999725341797
0.2568,34.630001068115234
0.1482,12.75
0.5708,57.56000137329102
0.7314,46.86000061035156
