Results Scores for CC,Ground Truth Labels
-0.0,4.57
-0.3027856945991516,4.33
-0.4667619466781616,2.67
-0.6297625899314879,1.67
-0.7279893159866333,1.1
-0.3719659149646759,3.83
-0.5000952482223511,2.27
-0.6556013226509094,1.53
-0.6990165114402771,1.23
-0.7246529459953308,1.2
-0.0,4.73
-0.3399054110050201,3.97
-0.476337730884552,2.7
-0.5652980804443359,2.03
-0.6485536098480225,1.5
-0.4093574285507202,4.73
-0.6293964982032776,2.17
-0.7035238742828369,1.37
-0.7184170484542847,1.5
-0.7542149424552917,1.47
-0.37913620471954346,4.0
-0.5127381682395935,2.2
-0.5659624338150024,1.57
-0.581330418586731,1.33
-0.5927579402923584,1.6
-0.3894486427307129,4.23
-0.4103761613368988,4.4
-0.4374975562095642,3.9
-0.5123599767684937,2.9
-0.5833447575569153,2.27
-0.53179931640625,2.73
-0.5811358094215393,2.5
-0.6024492383003235,2.27
-0.6188088059425354,2.47
-0.6481851935386658,2.2
-0.0,4.7
-0.5690486431121826,3.77
-0.6360688805580139,2.73
-0.6932070851325989,1.97
-0.7266077995300293,1.67
-0.24351923167705536,4.6
-0.3567807674407959,4.67
-0.4129225909709929,4.4
-0.5720621943473816,2.9
-0.7015422582626343,1.37
-0.40499207377433777,4.37
-0.424981951713562,3.93
-0.4718457162380218,3.77
-0.6475946307182312,1.58
-0.7379693388938904,1.17
-0.4234182238578797,4.03
-0.4872130155563354,3.27
-0.5129895210266113,2.67
-0.5542362332344055,2.27
-0.5895178914070129,2.37
-0.3319343030452728,4.43
-0.4780954718589783,3.7
-0.5305942296981812,2.77
-0.5677710771560669,2.37
-0.5966868400573729,1.97
-0.3206050992012024,3.67
-0.4644120335578919,2.87
-0.5252039432525635,2.6
-0.5673555135726929,2.07
-0.5983029007911682,2.03
-0.312648206949234,4.57
-0.44558998942375183,3.57
-0.4908478856086731,3.13
-0.5355049967765808,2.5
-0.5931922197341919,2.27
-0.4871021509170532,3.57
-0.549702525138855,2.63
-0.5938067436218262,1.77
-0.665321946144104,1.4
-0.7029680013656616,1.33
-0.2825540006160736,4.37
-0.3555259108543396,4.47
-0.4533178210258484,3.94
-0.5652557611465454,3.17
-0.6709226965904236,2.18
-0.24511364102363584,4.5
-0.31539690494537354,4.57
-0.4067869186401367,4.33
-0.5310113430023193,3.4
-0.6905618906021118,2.13
-0.3665779531002045,4.5
-0.2912963330745697,4.57
-0.0,4.57
-0.328422874212265,4.37
-0.4479131102561951,3.97
-0.2860773205757141,4.53
-0.3401253521442413,3.93
-0.4519926607608795,2.77
-0.5821406841278076,1.53
-0.6806026101112366,1.37
-0.32019808888435364,4.53
-0.428400993347168,3.9
-0.4593504071235657,4.0
-0.4777079820632935,3.33
-0.5087191462516785,3.23
-0.4224238395690918,3.37
-0.451481282711029,2.57
-0.44525477290153503,2.03
-0.4479561150074005,2.13
-0.5957930088043213,1.43
-0.4125734567642212,4.63
-0.4460936188697815,4.0
-0.4857258200645447,4.0
-0.5583541393280029,3.2
-0.618897557258606,2.2
-0.4479427039623261,2.73
-0.5223696827888489,2.17
-0.5947355628013611,2.2
-0.601517379283905,2.37
-0.6488101482391357,1.57
-0.5344591736793518,3.57
-0.6168920993804932,2.5
-0.6560589075088501,1.87
-0.7103354334831238,1.6
-0.7541553378105164,1.4
-0.5240104794502258,3.43
-0.4654260873794556,3.87
-0.3913852572441101,4.26
-0.4266882538795471,4.17
-0.5475951433181763,3.27
-0.0,4.5
-0.33726921677589417,4.17
-0.5321444869041443,2.07
-0.6655852198600769,1.57
-0.7438486218452454,1.27
-0.4232991635799408,3.2
-0.5662249922752379,2.27
-0.6852970123291016,1.57
-0.7215296626091003,1.17
-0.7407265901565552,1.0
-0.0,4.6
-0.39379823207855225,3.77
-0.5198646187782288,2.33
-0.5955001711845398,1.8
-0.6836193799972534,1.2
-0.4042061567306519,4.3
-0.5366009473800659,2.67
-0.6326918601989746,1.87
-0.6600435376167297,1.77
-0.6901665925979614,1.53
-0.4067903459072113,3.77
-0.5301997065544128,1.8
-0.5765343904495239,1.33
-0.5948948860168457,1.37
-0.5938087701797485,1.47
-0.3665649294853209,4.2
-0.3855801820755005,4.07
-0.4026044309139252,3.97
-0.4699798226356506,3.7
-0.5516979098320007,2.63
-0.4817046225070954,2.47
-0.538736879825592,2.37
-0.5588263273239136,2.06
-0.5717341899871826,1.97
-0.5968382954597473,1.53
-0.0,4.4
-0.4758343100547791,3.4
-0.5619578957557678,3.06
-0.6580791473388672,1.97
-0.7048010826110841,1.37
-0.4521590769290924,4.57
-0.5534958243370056,3.73
-0.576005220413208,3.07
-0.6753182411193848,1.53
-0.7334495782852173,1.27
-0.4068868160247803,4.6
-0.4190339148044586,4.33
-0.4597251713275909,4.13
-0.5972251892089844,2.6
-0.6863657832145691,1.6
-0.3356555700302124,4.27
-0.3784798979759216,3.7
-0.4157402217388153,3.4
-0.460050106048584,2.73
-0.5309585928916931,2.3
-0.2678380906581879,4.63
-0.3768639266490936,4.06
-0.4334484934806824,3.67
-0.5033272504806519,2.6
-0.5308279991149902,2.37
-0.2636089324951172,4.2
-0.3613593280315399,3.33
-0.4288992285728455,2.73
-0.5000070333480835,2.53
-0.5408017039299011,1.97
-0.2603744864463806,4.33
-0.3698240220546721,3.37
-0.419820249080658,2.7
-0.4784271717071533,2.33
-0.5448023080825806,2.0
-0.5210688710212708,3.57
-0.5885303616523743,2.77
-0.6194396018981934,2.03
-0.6575700044631958,1.5
-0.6875467300415039,1.5
-0.2994536161422729,4.4
-0.3779498934745789,4.4
-0.4859305322170258,3.77
-0.6101011037826538,2.9
-0.6987495422363281,1.83
-0.2479025423526764,4.5
-0.3126877844333649,4.63
-0.3992389440536499,4.33
-0.5256655812263489,3.63
-0.6932268142700195,1.9
-0.4139171838760376,4.13
-0.3142763078212738,4.63
-0.0,4.73
-0.35316145420074463,4.33
-0.475873202085495,4.03
-0.3274085819721222,4.17
-0.3624913990497589,4.0
-0.472723513841629,3.23
-0.6124993562698364,1.57
-0.6732500195503235,1.3
-0.36125683784484863,4.5
-0.4485659301280975,4.47
-0.4405570328235626,4.4
-0.4945809543132782,3.83
-0.5229148864746094,4.4
-0.5052730441093445,4.2
-0.5239253640174866,3.23
-0.5244797468185425,3.13
-0.5469677448272705,2.67
-0.656190037727356,1.37
-0.31378263235092163,4.73
-0.35313478112220764,4.26
-0.387462705373764,4.4
-0.434278666973114,3.93
-0.4965985715389252,3.2
-0.4444441795349121,2.1
-0.5325543284416199,2.7
-0.5503794550895691,2.27
-0.5775231719017029,2.2
-0.6151788830757141,2.07
-0.5169593691825867,3.07
-0.6008594036102295,1.93
-0.6445190906524658,1.47
-0.7030951976776123,1.23
-0.7418113350868225,1.2
-0.5637198090553284,3.37
-0.4936048984527588,3.7
-0.4112135171890259,4.27
-0.42664891481399536,4.1
-0.5465520620346069,3.33
-0.0,4.7
-0.3033970296382904,4.63
-0.5084286332130432,3.0
-0.6842567920684814,1.83
-0.8122586607933044,1.17
-0.385986328125,4.03
-0.5486904978752136,2.7
-0.716883659362793,1.7
-0.7789109945297241,1.47
-0.8110141754150391,1.23
-0.0,4.6
-0.3540189266204834,4.37
-0.4955781996250153,2.93
-0.6066457629203796,2.23
-0.7105987071990967,1.63
-0.5142292380332947,4.6
-0.7288357615470886,2.9
-0.822539210319519,1.53
-0.8466482758522034,1.2
-0.8601792454719543,1.1
-0.3355551362037659,4.78
-0.5335338711738586,2.65
-0.6014800667762756,2.0
-0.6335458159446716,1.87
-0.6415843367576599,2.23
-0.4105629324913025,4.0
-0.4031287133693695,3.8
-0.4479710757732392,3.33
-0.5027745962142944,2.83
-0.6118282675743103,1.77
-0.6351218223571777,2.37
-0.7165107131004333,1.67
-0.744511604309082,1.43
-0.7646310329437256,1.53
-0.7851914167404175,1.47
-0.0,4.53
-0.6288465857505798,3.13
-0.7063063383102417,2.47
-0.7781504392623901,1.37
-0.8006275296211243,1.23
-0.3433850705623627,4.4
-0.4772521555423737,3.6
-0.5411078929901123,3.1
-0.7126848697662354,1.77
-0.8189568519592285,1.1
-0.39171063899993896,4.47
-0.4089940190315247,4.17
-0.457062304019928,3.7
-0.6419410109519958,2.23
-0.7324303388595581,1.53
-0.338729590177536,3.97
-0.4088957309722901,3.6
-0.4507602453231812,3.27
-0.4918853640556336,2.93
-0.5536513924598694,2.5
-0.2555614709854126,4.57
-0.3928892910480499,3.87
-0.4616014361381531,3.17
-0.5227511525154114,2.9
-0.5595941543579102,2.6
-0.2695543169975281,4.4
-0.388310432434082,3.57
-0.4533279240131378,2.83
-0.5170577764511108,2.3
-0.5546160936355591,2.4
-0.2552284002304077,4.4
-0.39938363432884216,3.5
-0.461237907409668,3.03
-0.5201492309570312,2.53
-0.5996875762939453,2.17
-0.4642824530601502,4.13
-0.5529425144195557,3.3
-0.5966511964797974,2.53
-0.658641517162323,1.9
-0.7061356902122498,1.43
-0.2906610071659088,4.37
-0.3783473372459412,4.27
-0.5023454427719116,2.87
-0.6486761569976807,2.3
-0.7542127370834351,1.4
-0.2388145476579666,4.5
-0.3084163069725037,4.63
-0.3972187936306,4.4
-0.5166511535644531,3.67
-0.6726909279823303,2.77
-0.4055468738079071,4.23
-0.3087048232555389,4.73
-0.0,4.5
-0.31925782561302185,4.47
-0.4149646759033203,4.2
-0.3580266535282135,4.17
-0.4445440173149109,3.33
-0.485723614692688,3.17
-0.6362830996513367,1.77
-0.7280116081237793,1.37
-0.4021998643875122,4.37
-0.4640189707279205,4.67
-0.514238178730011,4.23
-0.5338486433029175,4.17
-0.5595514178276062,3.63
-0.4827131032943726,3.97
-0.5039420127868652,2.8
-0.4924570620059967,2.73
-0.5096603631973267,2.87
-0.6785389184951782,1.39
-0.2616473436355591,4.4
-0.2833903729915619,4.6
-0.32010820508003235,4.23
-0.3723623752593994,4.07
-0.4559163451194763,4.0
-0.4155517220497131,3.2
-0.479527622461319,2.3
