img_name,mos,std
100.bmp,32.56107532,19.12472638
101.bmp,66.35954917,20.21978588
102.bmp,44.69498452,19.66116163
103.bmp,39.23455873,19.33894682
104.bmp,9.229073799,11.90188066
105.bmp,41.33135142,21.78456959
106.bmp,68.92207631,21.24046204
107.bmp,27.95753374,15.52747822
108.bmp,75.35151515,16.55176877
109.bmp,50.63793103,19.24562703
10.bmp,82.91071429,15.12416885
110.bmp,32.13690476,18.59847576
111.bmp,51.84153005,21.84515995
112.bmp,30.31875,16.30039235
113.bmp,68.21714286,19.55448453
114.bmp,24.87113402,16.16427622
115.bmp,31.29378531,19.07561556
116.bmp,26.09770115,21.22264837
117.bmp,70.43274854,20.10969573
118.bmp,26.5308642,18.75509797
119.bmp,51.31707317,21.83815429
11.bmp,60.94728916,20.55352112
120.bmp,18.78488372,15.52531242
121.bmp,19.75,15.9890494
122.bmp,79.36708861,17.24619571
123.bmp,67.29775281,20.48800381
124.bmp,70.99459459,20.18891681
125.bmp,81.90502793,16.02340028
126.bmp,52.84302326,20.03983775
127.bmp,41.42690058,19.90918148
128.bmp,48.8136646,18.07768133
129.bmp,72.88268156,20.86022724
12.bmp,15.8952381,15.25566727
130.bmp,86.60869565,13.66416599
131.bmp,48.52903226,21.98001149
132.bmp,73.02590674,17.45692175
133.bmp,27.00571429,20.76067712
134.bmp,32.30898876,22.11858201
135.bmp,65.94300518,19.21701355
136.bmp,67.16315789,21.09137868
137.bmp,59.84210526,21.73269925
138.bmp,67.58695652,18.72764368
139.bmp,61.92857143,18.52416174
13.bmp,77.40229885,17.79293863
140.bmp,77.45833333,17.61449704
141.bmp,20.58181818,20.73793294
142.bmp,26.40571429,15.27340757
143.bmp,61.14948454,21.32631556
144.bmp,76.92391304,18.53086847
145.bmp,55.5923913,22.06874869
146.bmp,34.21118012,19.91180866
147.bmp,71.32335329,18.31658326
148.bmp,41.97076023,18.87993859
149.bmp,72.45744681,17.95250114
14.bmp,66.39411765,21.59971977
150.bmp,65.79617834,19.65038619
151.bmp,55.77922078,23.13479872
152.bmp,79.43786982,15.58112366
153.bmp,73.0880829,19.15853577
154.bmp,11.97714286,13.57014738
155.bmp,73.63905325,18.49854921
156.bmp,28.51282051,17.65639322
157.bmp,17.51923077,16.80724542
158.bmp,79.41666667,15.30035288
159.bmp,73.83443709,16.81445032
15.bmp,56.39896373,21.5829649
160.bmp,41.34705882,20.65875511
161.bmp,8.246835443,10.48850551
162.bmp,70.6375,21.15545561
163.bmp,46.36942675,21.59869613
164.bmp,80.5,17.21883172
165.bmp,71.86338798,18.61282565
166.bmp,49.79581152,20.8847762
167.bmp,75.17777778,18.46487094
168.bmp,65.4180791,18.84431765
169.bmp,30.1091954,16.11320596
16.bmp,77.60215054,16.80388616
170.bmp,60.28795812,21.32001312
171.bmp,25.13636364,17.67301854
172.bmp,63.04522613,20.47054955
173.bmp,74.54066986,19.51403641
174.bmp,72.91,19.75686129
175.bmp,74.36477987,19.51968217
176.bmp,61.34536082,22.7160737
177.bmp,58.43010753,20.90513856
178.bmp,53.70238095,19.16976147
179.bmp,66.10843373,24.30563573
17.bmp,61.4619883,18.74009588
180.bmp,39.41340782,21.70090453
181.bmp,29.12820513,16.70573006
182.bmp,52.63131313,20.50777813
183.bmp,23.01212121,16.49574516
184.bmp,67,18.9629927
185.bmp,56.46994536,22.00194606
186.bmp,49.80769231,22.79250454
187.bmp,28.71195652,17.14447348
188.bmp,28.95953757,16.582899
189.bmp,46.05376344,20.33708666
18.bmp,64.55191257,21.05947319
190.bmp,31.7294686,18.19218469
191.bmp,46.47474747,19.01580611
192.bmp,35.48351648,20.39112722
193.bmp,74.66081871,18.98983125
194.bmp,26.66666667,16.82954774
195.bmp,69.1840796,19.03367924
196.bmp,61.78888889,19.55424739
197.bmp,55.48235294,23.60228239
198.bmp,78.51724138,18.07490009
199.bmp,66.2122905,21.0912854
19.bmp,30.93604651,20.5389797
200.bmp,9.139072848,10.57924996
201.bmp,49.5,20.47912132
202.bmp,24.51515152,17.78071237
203.bmp,50.99441341,20.23083007
204.bmp,75.48170732,19.27949817
205.bmp,77.95977011,18.26818808
206.bmp,72.59090909,21.93217408
207.bmp,43.66863905,21.68627004
208.bmp,53.84146341,21.96844894
209.bmp,52.29069767,21.459804
20.bmp,76.38541667,20.46750447
210.bmp,70.54210526,20.95158985
211.bmp,42.68604651,19.81951406
212.bmp,61.71264368,21.003665
213.bmp,13.11392405,17.11444233
214.bmp,73.11111111,18.23001189
215.bmp,57.19135802,19.82173158
216.bmp,75.17901235,19.67907244
217.bmp,68.14723926,21.19959036
218.bmp,67.98850575,19.78409138
219.bmp,48.80346821,19.06404718
21.bmp,53.02061856,21.28244765
220.bmp,67.28220859,20.46813519
221.bmp,84.16022099,16.03821021
222.bmp,59.2565445,22.67440353
223.bmp,68.31125828,19.02811444
224.bmp,14.63829787,13.50092179
225.bmp,64.05294118,18.98871099
226.bmp,49.47567568,20.55032801
227.bmp,72.70760234,17.95801969
228.bmp,41.1,18.67937191
229.bmp,57.66666667,22.33517066
22.bmp,52,19.76430892
230.bmp,43.24712644,19.12272104
231.bmp,45.37106918,23.68799126
232.bmp,81.76878613,16.77046675
233.bmp,81.25555556,16.51548189
