Results Scores for CC,Ground Truth Labels
-0.30864158272743225,5.51429
-0.3612164556980133,5.56757
-0.4310930073261261,4.94444
-0.480720579624176,4.37838
-0.5315089225769043,3.8648599999999997
-0.28579747676849365,6.028569999999999
-0.32776808738708496,6.10811
-0.38440608978271484,5.38889
-0.4300110340118408,4.71429
-0.47608479857444763,4.36111
-0.42842188477516174,4.7714300000000005
-0.4790598452091217,4.27027
-0.5265803337097168,3.7027
-0.5849804282188416,3.19444
-0.6417317390441895,2.71429
-0.20041336119174957,5.971430000000001
-0.22822660207748413,5.75676
-0.26335760951042175,5.27027
-0.30289849638938904,5.24324
-0.3581530749797821,4.71429
-0.2436876893043518,5.91892
-0.2854633629322052,5.7027
-0.37894266843795776,5.08333
-0.4777863621711731,4.13889
-0.5689293146133423,3.13889
-0.3187553882598877,4.0
-0.3734475076198578,3.89189
-0.4286481440067291,3.7297300000000004
-0.48235857486724854,3.4857099999999996
-0.538729190826416,2.94444
-0.3505663573741913,5.08333
-0.39630457758903503,4.75
-0.4643424153327942,4.0
-0.5169802308082581,3.22222
-0.6073663234710693,2.19444
-0.33382105827331543,5.18919
-0.4191073179244995,4.47222
-0.5300527811050415,3.4864900000000003
-0.6513620615005493,3.0
-0.7254934310913086,2.11111
-0.3919593095779419,6.08333
-0.4687337577342987,5.16667
-0.5593274235725403,4.42857
-0.6272804737091064,2.81081
-0.7113381028175354,1.54054
-0.29104822874069214,5.97297
-0.3373190760612488,5.94595
-0.42732399702072144,4.91667
-0.5608955025672913,3.21622
-0.6650797724723816,2.08108
-0.28980523347854614,5.91429
-0.36040738224983215,5.675680000000001
-0.43582627177238464,4.69444
-0.5929328203201294,3.6756800000000003
-0.7327920794487,1.45946
-0.3099936842918396,5.94595
-0.3251306712627411,5.86486
-0.45555931329727173,4.21622
-0.5124598145484924,3.83333
-0.5774369835853577,3.43243
-0.30669543147087097,5.45946
-0.47003912925720215,3.9142900000000003
-0.5512337684631348,3.2777800000000004
-0.5801563858985901,3.16667
-0.5696131587028503,3.10811
-0.3155876398086548,5.69444
-0.3243526518344879,6.05405
-0.4246911108493805,5.75676
-0.48810914158821106,5.55556
-0.5438366532325745,4.4705900000000005
-0.5909199714660645,2.83333
-0.5657861828804016,2.82857
-0.5477074384689331,3.10811
-0.5033575296401978,3.58333
-0.44257843494415283,3.89189
-0.15515726804733276,5.80556
-0.18027172982692719,6.05405
-0.2533823251724243,4.88889
-0.2729026973247528,5.02778
-0.38337934017181396,4.19444
-0.2922646701335907,5.35135
-0.3561365306377411,6.62162
-0.4066791832447052,4.08108
-0.4588758647441864,6.24324
-0.5474340319633484,2.97143
-0.34333714842796326,4.62162
-0.3852512240409851,4.22222
-0.43364691734313965,3.7714300000000005
-0.4783964157104492,3.4722199999999996
-0.47951534390449524,3.41667
-0.30070191621780396,5.94444
-0.345773845911026,5.47222
-0.4058530926704407,5.08108
-0.4664183259010315,4.52778
-0.5275126099586487,3.94444
-0.24165314435958862,5.85714
-0.27486586570739746,5.83333
-0.32328927516937256,6.02778
-0.41438931226730347,5.08333
-0.5327504277229309,4.33333
-0.32907286286354065,5.7027
-0.37700355052948,5.27778
-0.4540632963180542,4.675680000000001
-0.5342487096786499,4.05714
-0.6139212250709534,3.05405
-0.3336571455001831,5.55556
-0.3921988308429718,5.18919
-0.4740058481693268,4.30556
-0.5235152840614319,3.1621599999999996
-0.6330703496932983,2.19444
-0.3449614942073822,6.28571
-0.42819851636886597,5.61111
-0.4804767668247223,5.77778
-0.5492430329322815,4.80556
-0.686648428440094,2.40541
-0.3415791392326355,5.7027
-0.4130290150642395,5.58333
-0.5025282502174377,5.10811
-0.622976541519165,3.08108
-0.7264207601547241,0.45946000000000004
-0.3363807201385498,5.74286
-0.3958618938922882,5.34286
-0.45543211698532104,5.22222
-0.5136128664016724,4.19444
-0.5683324933052063,3.9729699999999997
-0.2729857563972473,6.05556
-0.31747621297836304,6.05405
-0.377530038356781,5.88889
-0.4311443865299225,5.2973
-0.49218785762786865,4.38889
-0.45395007729530334,4.8
-0.5098970532417297,4.43243
-0.5702263116836548,3.8378400000000004
-0.6269492506980896,3.5277800000000004
-0.6828446984291077,2.91892
-0.22744250297546387,6.28571
-0.2575818598270416,6.16216
-0.2957436740398407,5.19444
-0.34887436032295227,4.74286
-0.4263869524002075,4.28571
-0.27347829937934875,6.11765
-0.3223569393157959,6.11111
-0.4216337203979492,5.43243
-0.5180767178535461,4.37838
-0.6115495562553406,3.41667
-0.35667482018470764,4.55556
-0.4320627450942993,4.27778
-0.510509192943573,3.7297300000000004
-0.5614007711410522,3.4857099999999996
-0.612510085105896,3.10811
-0.3771636486053467,5.91429
-0.43775227665901184,5.58333
-0.5178975462913513,3.76471
-0.5735796689987183,3.75676
-0.6404511332511902,2.8571400000000002
-0.33783140778541565,6.10811
-0.4222973883152008,5.16667
-0.5312644839286804,4.54286
-0.6336565613746643,3.8378400000000004
-0.6982991695404053,3.02703
-0.43503716588020325,6.0
-0.48560425639152527,5.51429
-0.5623436570167542,4.52778
-0.6304022073745728,3.64865
-0.7001866102218628,2.41667
-0.3088623583316803,6.0
-0.3633229732513428,5.97222
-0.4837711453437805,5.43243
-0.6150348782539368,3.5
-0.7037060260772705,2.71429
-0.3986476957798004,5.91667
-0.5340026021003723,4.80556
-0.6820586919784546,2.97297
-0.7429488301277161,1.9189200000000002
-0.7654229402542114,1.27778
-0.4278523325920105,5.30556
-0.4475252032279968,4.43243
-0.661776065826416,3.08108
-0.6994733214378357,2.67568
-0.7510091066360474,2.37143
-0.4750451445579529,4.47222
-0.5060134530067444,4.0
-0.6412733793258667,3.38889
-0.6670573949813843,2.89189
-0.6392108201980591,3.61111
-0.3889773488044739,5.75
-0.3402426242828369,6.08108
-0.4454675316810608,5.1142900000000004
-0.4842667281627655,5.31429
-0.5504368543624878,4.21622
-0.6001911163330078,3.4
-0.5990838408470154,3.6216199999999996
-0.58269864320755,3.83333
-0.5530524849891663,3.8378400000000004
-0.49493277072906494,4.2
-0.17588061094284058,5.94595
-0.21173791587352753,6.08333
-0.2940587103366852,5.324319999999999
